molecule_chembl_id,bioactivity_class,standard_value,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL4756650,inactive,10000.0,COc1cccc(/C=N\C2CCN(Cc3ccccc3)C2)c1OC,324.4240000000001,3.3972000000000024,0.0,4.0
CHEMBL4745500,intermediate,7793.0,COc1cc(/C=N\C2CCN(Cc3ccccc3)C2)cc(OC)c1OC,354.4500000000001,3.405800000000002,0.0,5.0
CHEMBL4755117,intermediate,5628.0,Oc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,280.371,3.0856000000000012,1.0,3.0
CHEMBL4796199,inactive,10000.0,Oc1ccccc1/C=N\C1CCN(Cc2ccccc2)C1,280.37100000000004,3.0856000000000012,1.0,3.0
CHEMBL4780232,intermediate,3679.0,Oc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)c(O)c1,296.37,2.791200000000001,2.0,4.0
CHEMBL4756674,inactive,10000.0,Cc1cccc(/C=N\C2CCN(Cc3ccccc3)C2)c1,278.399,3.6884200000000025,0.0,2.0
CHEMBL4795118,inactive,10000.0,Cc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,278.399,3.6884200000000025,0.0,2.0
CHEMBL4757415,intermediate,2461.0,O=[N+]([O-])c1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,309.369,3.2882000000000025,0.0,4.0
CHEMBL4792691,intermediate,1039.0,FC(F)(F)c1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,332.369,4.398800000000003,0.0,2.0
CHEMBL4755226,active,864.0,FC(F)(F)Oc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,348.36800000000005,4.2786000000000035,0.0,3.0
CHEMBL4785769,intermediate,1241.0,Clc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,298.817,4.033400000000003,0.0,2.0
CHEMBL4797109,intermediate,1066.0,Fc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,282.362,3.5191000000000026,0.0,2.0
CHEMBL4794000,intermediate,1303.0,Brc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,343.26800000000003,4.142500000000003,0.0,2.0
CHEMBL4744470,active,965.0,Fc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)c(F)c1,300.35200000000003,3.6582000000000026,0.0,2.0
CHEMBL4758638,intermediate,1126.0,c1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,266.388,3.0507000000000017,1.0,2.0
CHEMBL4747185,intermediate,4383.0,COc1cccc(CNC2CCN(Cc3ccccc3)C2)c1OC,326.4400000000001,3.0679000000000016,1.0,4.0
CHEMBL4757216,intermediate,3125.0,COc1cc(CNC2CCN(Cc3ccccc3)C2)cc(OC)c1OC,356.4660000000002,3.076500000000002,1.0,5.0
CHEMBL4764465,intermediate,1748.0,Oc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,282.387,2.7563000000000013,2.0,3.0
CHEMBL4778302,intermediate,2258.0,Oc1ccccc1CNC1CCN(Cc2ccccc2)C1,282.387,2.7563000000000013,2.0,3.0
